Des_Id,Des_Name,Des_Address,Des_City,Des_Category,Des_Rating,Des_Price,Des_Descriptions,Des_User_Id,Des_User_Name,Des_User_Rating,Des_User_Review
12,Chùa Một Cột,"Đội Cấn, Ba Đình",Hà Nội,Du lịch văn hóa ,"4,3",0,"Ngôi chùa thờ Phật đã được xây lại, vốn được dựng lên vào năm 1049 với thiết kế hoa sen.",12618,Dương Văn Thái,5,"Chùa Một Cột được biết đến với rất nhiều tên gọi khác nhau như Diên Hựu Tự, Liên Hoa Đài hay chùa Mật. Đây là một trong số những ngôi chùa Hà Nội cổ kính được xây dựng từ thời vua Lý Thái Tông. … More"
12,Chùa Một Cột,"Đội Cấn, Ba Đình",Hà Nội,Du lịch văn hóa ,"4,3",0,"Ngôi chùa thờ Phật đã được xây lại, vốn được dựng lên vào năm 1049 với thiết kế hoa sen.",11952,Văn Thìn,4,Đẹp phong cảnh hữu tình hôm nào ít khách thì sẽ có không gian chụp ảnh đẹp và thoáng hơn. Hôm nào khách nhiều đi lên đi xuống thì thực sự là không có góc để chụp hình.
12,Chùa Một Cột,"Đội Cấn, Ba Đình",Hà Nội,Du lịch văn hóa ,"4,3",0,"Ngôi chùa thờ Phật đã được xây lại, vốn được dựng lên vào năm 1049 với thiết kế hoa sen.",12862,Lâm Ngọc Đảng,5,"Chùa Một Cột là một trong những Biểu tượng văn hóa của thủ đô Hà Nội.
Chùa Một Cột là một trong những địa danh nổi tiếng nhất của Hà Nội, Việt Nam."
12,Chùa Một Cột,"Đội Cấn, Ba Đình",Hà Nội,Du lịch văn hóa ,"4,3",0,"Ngôi chùa thờ Phật đã được xây lại, vốn được dựng lên vào năm 1049 với thiết kế hoa sen.",11591,Duy Cường Nguyễn,5,"Chùa đẹp, cổ kính, mang 1 nét kiến trúc riêng biệt rất đặc sặc. Nhiều cây xanh rất mát mẻ"
12,Chùa Một Cột,"Đội Cấn, Ba Đình",Hà Nội,Du lịch văn hóa ,"4,3",0,"Ngôi chùa thờ Phật đã được xây lại, vốn được dựng lên vào năm 1049 với thiết kế hoa sen.",11953,Chau Thieu Nguyen,4,"Chùa Một cột nằm trong khuôn viên lăng Bác, nhưng có thể đi vào theo đường vào Bảo Tàng lịch sử HCM, không phải xếp hàng dài dù vẫn phải qua cửa an ninh nhưng đơn giản hơn nhiều."
12,Chùa Một Cột,"Đội Cấn, Ba Đình",Hà Nội,Du lịch văn hóa ,"4,3",0,"Ngôi chùa thờ Phật đã được xây lại, vốn được dựng lên vào năm 1049 với thiết kế hoa sen.",11669,Vũ Trần,5,Ở Hà Nội 34 năm giờ mới có dịp lên chùa Một Cột.
12,Chùa Một Cột,"Đội Cấn, Ba Đình",Hà Nội,Du lịch văn hóa ,"4,3",0,"Ngôi chùa thờ Phật đã được xây lại, vốn được dựng lên vào năm 1049 với thiết kế hoa sen.",11241,Trịnh Khanh,5,"Chùa nằm trong khuôn viên Lăng Bác, bạn sẽ trải nghiệm cảm giác linh thiêng khi ghé viếng chùa, không khí mát mẻ, cây xanh xung quanh rất nhiều."
12,Chùa Một Cột,"Đội Cấn, Ba Đình",Hà Nội,Du lịch văn hóa ,"4,3",0,"Ngôi chùa thờ Phật đã được xây lại, vốn được dựng lên vào năm 1049 với thiết kế hoa sen.",12845,Allen Teo,5,Unique Buddhism worship attractions just located beside the Ho Chi Minh Museum.
12,Chùa Một Cột,"Đội Cấn, Ba Đình",Hà Nội,Du lịch văn hóa ,"4,3",0,"Ngôi chùa thờ Phật đã được xây lại, vốn được dựng lên vào năm 1049 với thiết kế hoa sen.",12659,Pan Pan (Pan),5,One of the most check in points. One of the most iconic symbols of Hanoi. The pagoda has a nearly 1000 year history with a unique architechure. You can find it quite smaller and crowded than some ads in the internet.
12,Chùa Một Cột,"Đội Cấn, Ba Đình",Hà Nội,Du lịch văn hóa ,"4,3",0,"Ngôi chùa thờ Phật đã được xây lại, vốn được dựng lên vào năm 1049 với thiết kế hoa sen.",12803,Truyet Ngo Thuong,5,Nam Mô Bổn Sư Thích Ca Mâu Ni Phật
12,Chùa Một Cột,"Đội Cấn, Ba Đình",Hà Nội,Du lịch văn hóa ,"4,3",0,"Ngôi chùa thờ Phật đã được xây lại, vốn được dựng lên vào năm 1049 với thiết kế hoa sen.",12217,Nhã Nguyễn,4,"Xung quanh chùa để sạp hàng, buôn bán hơi nhiều.
Mình đi từ bảo tàng ra, nếu ko để ý là mình không tìm thấy chùa Một Cột luôn."
12,Chùa Một Cột,"Đội Cấn, Ba Đình",Hà Nội,Du lịch văn hóa ,"4,3",0,"Ngôi chùa thờ Phật đã được xây lại, vốn được dựng lên vào năm 1049 với thiết kế hoa sen.",12555,George St,5,Pagoda that is inside the ho chi min mausoleum! It is a nice place to visit and pray if you are Buddhist. You can also donate some money and there are local shops around to buy things or other things that you want. You enter here through the ho Cho min mausoleum entrance.
12,Chùa Một Cột,"Đội Cấn, Ba Đình",Hà Nội,Du lịch văn hóa ,"4,3",0,"Ngôi chùa thờ Phật đã được xây lại, vốn được dựng lên vào năm 1049 với thiết kế hoa sen.",12437,Pham Hung,5,"Chùa một cột nằm trong khuôn viên lăng chủ tịch hồ chí minh, nơi nhiều khách du lịch viếng thăm"
12,Chùa Một Cột,"Đội Cấn, Ba Đình",Hà Nội,Du lịch văn hóa ,"4,3",0,"Ngôi chùa thờ Phật đã được xây lại, vốn được dựng lên vào năm 1049 với thiết kế hoa sen.",11226,Phạm Thị Phương Linh,4,"Vô cửa mà mình thấy cực nhọc s á, tìm maci cái cổng để vô, tại nhiều ng gác quá chả biết  đâu mà lần.... hôm mình đi có mấy b trẻ gác bên khu cửa gần cổng ra vào ngay khúc hướng vô chùa một cột dthg lắm"
12,Chùa Một Cột,"Đội Cấn, Ba Đình",Hà Nội,Du lịch văn hóa ,"4,3",0,"Ngôi chùa thờ Phật đã được xây lại, vốn được dựng lên vào năm 1049 với thiết kế hoa sen.",11014,Hung NguyenVuong,5,"Thấy thú vị, nên đi để trải nghiệm, đi lại thấy không khí trong lành, cây cối tươi mát."
12,Chùa Một Cột,"Đội Cấn, Ba Đình",Hà Nội,Du lịch văn hóa ,"4,3",0,"Ngôi chùa thờ Phật đã được xây lại, vốn được dựng lên vào năm 1049 với thiết kế hoa sen.",11319,Minh Thien Ho,5,Nơi tâm linh nằm sau Bảo Tàng lịch sử và trong khu Lăng Bác.
12,Chùa Một Cột,"Đội Cấn, Ba Đình",Hà Nội,Du lịch văn hóa ,"4,3",0,"Ngôi chùa thờ Phật đã được xây lại, vốn được dựng lên vào năm 1049 với thiết kế hoa sen.",11821,Ma Việt Hoàng,5,"Chùa Một Cột Hà Nội được gọi bằng nhiều cái tên khác nhau như Chùa Mật, Diên Hựu Tự, Liên Hoa Đài (do hình dáng của nó nhìn giống như một bông hoa sen vươn mình nở rộ giữa hồ nước). Ngôi chùa này được xây dựng từ thời Vua Lý Thái Tông, từ đó trở thành biểu tượng đặc sắc mỗi lần nhắc tới cái tên Thủ đô Hà Nội."
